Year,Song Title,Artist,Secondary Artist,"Organization of Backbeat (2, 3)",Kick / Snare Rate (in BPM),"1st Level Subdivision (2, 3)","2nd Level Subdivision (0, 2, 3)",Tempo of Swung Layer
1958,The Ways Of A Woman In Love,Johnny Cash,,2,182,3,0,182
1958,Blue Boy,Jim Reeves,,2,100,3,0,100
1958,All Over Again,Johnny Cash,,2,216,3,0,216
1958,Give Myself A Party,Don Gibson,,2,112,3,0,112
1958,You're The Nearest Thing To Heaven,Johnny Cash,,2,162,3,0,162
1958,Treasure Of Love,George Jones,,2,110,3,0,110
1959,Bird Dog,The Everly Brothers,,2,131,2,2,
1959,Billy Bayou,Jim Reeves,,2,168,3,0,168
1959,Don't Take Your Guns To Town,Johnny Cash,,2,171,3,0,171
1959,When It's Springtime In Alaska (It's Forty Below),Johnny Horton,,2,169,2,2,
1959,White Lightning,George Jones,,2,153,2,2,
1959,Waterloo,Stonewall Jackson,,2,204,3,0,204
1959,Home ,Jim Reeves,,2,174,3,0,174
1959,Country Girl,Faron Young,,2,128,3,0,128
1959,The Same Old Me,Ray Price,,2,132,3,0,132
1959,El Paso,Marty Robbins,,3,210,3,0,210
1960,"Please Help Me, I'm Falling In Love",Hank Locklin,,2,108,3,0,108
1960,He'll Have To Go,Jim Reeves,,3,81,3,0,81
1960,Alabam,Cowboy Copas,,2,214,3,0,214
1960,Wings Of A Dove,Ferlin Husky,,3,184,3,0,184
1960,I Love You Because,Johnny Cash,,2,124,3,0,124
1960,Little Angel (Come Roch Me To Sleep),Ted Self,,2,213,3,0,213
1960,The Old Lamplighter,The Browns,,2,92,3,0,92
1960,Until Today,Elmer Snodgrass,,2,115,3,0,115
1960,Dead Or Alive,Bill Anderson,,2,198,3,0,198
1960,I Wish You Love,Billy Walker,,3,72,3,0,72
1961,Walk On By,Leroy Van Dyke,,2,133,3,0,133
1961,Don't Worry,Marty Robbins,,2,103,3,0,103
1961,Hello Walls,Faron Young,,2,102,3,0,102
1961,Tender Years,George Jones,,3,92,3,0,92
1961,North To Alaska,Johnny Horton,,2,166,2,2,
1961,Heartbreak Usa,Kitty Wells,,2,117,3,0,117
1961,I Fall To Pieces,Patsy Cline,,2,113,3,0,113
1961,Big Bad John,Jimmy Dean,,2,174,3,0,174
1961,Forget The Past,Faron Young,,2,140,3,0,140
1961,Lonelyville,Ray Sanders,,2,138,3,0,138
1962,Wolverton Mountain,Claude King,,2,157,3,0,157
1962,Devil Woman,Marty Robbins,,2,146,2,2,
1962,Mama Sang A Song,Bill Anderson,,2,93,3,0,93
1962,She's Got You,Patsy Cline,,2,61,3,2,61
1962,She Thinks I Still Care,George Jones,,2,115,3,0,115
1962,Misery Loves Company,Porter Wagoner,,2,63,3,3,189
1962,Charlie's Shoes,Billy Walker,,2,143,3,0,143
1962,I've Been Everywhere,Hank Snow,,2,246,3,0,246
1962,That's My Pa,Sheb Wooley,,2,232,3,0,232
1962,Adios Amigo,Jim Reeves,,3,81,3,2,81
1963,Don't Let Me Cross Over,Carl & Pearl Butler,,3,114,3,0,114
1963,Love's Gonna Live Here,Buck Owens,,2,184,3,0,184
1963,Still,Bill Anderson,,2,95,3,0,95
1963,Ring Of Fire,Johnny Cash,,2,208,3,0,208
1963,Lonesome 7-7203,Hawkshaw Hawkins,,2,117,3,0,117
1963,Act Naturally,Buck Owens,,2,186,3,0,186
1963,The Ballad Of Jed Clampett,Lester Flatt,Earl Scruggs,2,276,3,0,138
1963,Abilene,George Hamilton IV,,2,104,3,0,104
1963,Ruby Ann,Marty Robbins,,2,157,3,0,157
1963,Talk Back Trembling Lips,Ernest Ashworth,,2,135,3,0,135
1964,I Guess I'm Crazy,Jim Reeves,,2,94,3,0,94
1964,Understand Your Man,Johnny Cash,,2,184,3,0,184
1964,My Heart Skips A Beat,Buck Owens,,2,174,3,0,174
1964,Dang Me,Roger Miller,,2,200,3,0,200
1964,I Don't Care (Just As Long As You Love Me),Buck Owens,,2,170,3,0,170
1964,Love's Gonna Live Here,Buck Owens,,2,184,3,0,184
1964,Once A Day,Connie Smith,,2,137,3,0,137
1964,Saginaw Michigan,Lefty Frizzell,,2,145,2,2,
1964,Begging To You,Marty Robbins,,2,86,3,0,86
1964,Together Again,Buck Owens,,2,77,3,0,77
1965,What's He Doin' In My World,Eddy Arnold,,2,70,3,2,70
1965,King Of The Road,Roger Miller,,2,118,3,0,118
1965,You're The Only World I Know,Sonny James,,2,121,3,0,121
1965,Make The World Go Away,Eddy Arnold,,2,69,3,3,207
1965,Hello Vietnam,Johnnie Wright,,2,116,3,0,116
1965,Is It Really Over?,Jim Reeves,,2,81,2,2,
1965,Behind The Tear,Sonny James,,2,109,3,0,109
1965,I've Got A Tiger By The Tail,Buck Owens,,2,194,3,0,194
1965,May The Bird Of Paradise Fly Up Your Nose,Little Jimmy Dickens,,2,208,3,0,208
1965,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),Jimmy Dean,,2,113,3,0,113
1966,Almost Persuaded,David Houston,,3,83,3,0,83
1966,Waitin' In Your Welfare Line,Buck Owens,,2,119,3,0,119
1966,Giddyup Go,Red Sovine,,2,87,3,0,87
1966,I Want To Go With You,Eddy Arnold,,2,74,3,2,74
1966,Think Of Me,Buck Owens,,2,136,2,2,
1966,Distant Drums,Jim Reeves,,2,96,2,2,
1966,Somebody Like Me,Eddy Arnold,,2,119,3,0,119
1966,Open Up Your Heart,Buck Owens,,2,188,3,0,188
1966,There Goes My Everything,Jack Greene,,2,93,3,0,93
1966,Take Good Care Of Her,Sonny James,,2,106,3,0,106
1967,It's The Little Things,Sonny James,,2,107,3,0,107
1967,All The Time,Jack Greene,,2,100,2,3,200
1967,I'll Never Find Another You,Sonny James,,2,293,3,0,293
1967,Sam's Place,Buck Owens,,2,182,3,0,182
1967,Where Does The Good Times Go,Buck Owens,,2,184,3,0,184
1967,I Don't Wanna Play House,Tammy Wynette,,2,101,3,0,101
1967,My Elusive Dreams,David Houston,Tammy Wynette,2,103,2,2,
1967,Walk Through This World With Me,George Jones,,2,94,3,0,94
1967,Lonely Again,Eddy Arnold,,2,72,3,2,72
1967,Need You,Sonny James,,2,102,3,0,102
1968,Skip A Rope,Henson Cargill,,2,146,3,0,146
1968,A World Of Our Own,Sonny James,,2,304,3,0,304
1968,Sing Me Back Home,Merle Haggard,,2,108,2,2,
1968,How Long Will My Baby Be Gone,Buck Owens and his Buckaroos,,2,212,3,0,212
1968,You Are My Treasure,Jack Greene,,2,90,3,0,90
1968,Fist City,Loretta Lynn,,2,156,3,0,156
1968,The Legend Of Bonnie And Clyde,Merle Haggard,,2,235,3,0,235
1968,Have A Little Faith,David Houston,,2,135,3,0,135
1968,I Wanna Live,Glen Campbell,,3,140,3,0,140
1968,Honey,Bobby Goldsboro,,2,93,2,2,
1969,Daddy Sang Bass,Johnny Cash,,2,195,3,0,195
1969,A Boy Name Sue,Johnny Cash,,2,212,3,0,212
1969,Okie From Muskogee,Merle Haggard,,2,140,2,2,
1969,Only The Lonely,Sonny James,,2,104,2,2,
1969,Running Bear,Sonny James,,2,120,2,3,240
1969,Since I Met You Baby,Sonny James,,2,82,3,0,82
1969,Galveston,Glen Campbell,,2,119,2,2,
1969,(I'm So) Afraid Of Losing You Again,Charley Pride,,2,98,3,0,98
1969,My Life (Throw It Away If I Want To),Bill Anderson,,2,226,3,0,226
1969,Singing My Song,Tammy Wynette,,2,114,3,0,114
